Beholder Zombie; Large undead; neutral evil; 15; natural armor; 93; 11d10+33; 0 ft., fly 20 ft. (hover); 10; 8; 16; 3; 8; 5; Wis +2; ; ; poison; poisoned; Darkvision 60 ft., PP 9; understands Deep Speech and Undercommon but can't speak; 5; 1800; ; <i><b>Bite:</b> Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 14 (4d6) piercing damage.<br><br><i><b>Eye Ray:</b></i> The zombie uses a random magical eye ray, choosing a target that it can see within 60 feet of it.<br><br><i>1. Paralyzing Ray:</i> The targeted creature must succeed on a DC 14 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br><i>2. Fear Ray:</i> The targeted creature must succeed on a DC 14 Wisdom saving throw or be frightened for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br><i>3. Enervation Ray:</i> The targeted creature must make a DC 14 Constitution saving throw, taking 36 (8d8) necrotic damage on a failed save, or half as much damage on a successful one.<br><i>4. Disintegration Ray:</i> If the target is a creature, it must succeed on a DC 14 Dexterity saving throw or take 45 (10d8) force damage. If this damage reduces the creature to 0 hit points, its body becomes a pile of fine gray dust.<br>If the target is a Large or smaller non magical object or creation of magical force, it is disintegrated without a saving throw. If the target is a Huge or larger non magical object or creation of magical force, this ray disintegrates a 10-foot cube of it.; ; <i><b>Undead Fortitude:</b></i> If damage reduces the zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5 +the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead.
Ogre Zombie; Large undead; neutral evil; 8; ; 85; 9d10+36; 30 ft.; 19; 6; 18; 3; 6; 5; Wis +0; ; ; poison; poisoned; Darkvision 60 ft., PP 8; understands Common and Giant but can't speak; 2; 450; ; <i><b>Morningstar:</b> Melee Weapon Attack:</i> +6 to hit, reach 5 ft., one target. <i>Hit:</i> 13 (2d8+4) bludgeoning damage.; ; <i><b>Undead Fortitude:</b></i> If damage reduces the zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5 +the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead.
Zombie; Medium undead; neutral evil; 8; ; 22; 3d8+9; 20 ft.; 13; 6; 16; 3; 6; 5; Wis +0; ; ; poison; poisoned; Darkvision 60 ft., PP 8; the language it knew in life but can't speak; 1/4; 50; ; <i><b>Slam:</b> Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 4 (1d6+1) bludgeoning damage.; ; <i><b>Undead Fortitude:</b></i> If damage reduces the zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5 +the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead.
Ultroloth; Medium fiend (yugoloth); neutral evil; 19; natural armor; 153; 18d8+72; 30 ft., fly 60 ft.; 16; 16; 18; 18; 15; 19; ; Intimidation +9, Perception +7, Stealth +8; cold, fire, lightning, bludgeoning, piercing, and slashing from nonmagical attacks; acid, poison; charmed, frightened, poisoned; Truesight 120 ft., PP 17; Abyssal, Infernal, Telepathy 120 ft.; 13; 10000; ; <i><b>Multiattack:</b></i> The ultroloth can use its Hypnotic Gaze and makes three melee attacks.<br><br><i><b>Longsword:</b> Melee Weapon Attack:</i> +8 to hit, reach 5 ft., one target. <i>Hit:</i> 7 (1d8+3) slashing damage, or 8 (1d10+3) slashing damage if used with two hands.<br><br><i><b>Hypnotic Gaze:</b></i> The ultroloth's eyes sparkle with opalescent light as it targets one creature it can see within 30 feet of it. If the target can see the ultroloth, the target must succeed on a DC 17 Wisdom saving throw against this magic or be charmed until the end of the ultroloth's next turn. The charmed target is stunned. If the target's saving throw is successful, the target is immune to the ultroloth's gaze for the next 24 hours.<br><br><i><b>Teleport:</b></i> The ultroloth magically teleports, along with any equipment it is wearing or carrying, up to 60 feet to an unoccupied space it can see.; ; <i><b>Innate Spellcasting:</b></i> The ultroloth's innate spellcasting ability is Charisma (spell save DC 17). The ultroloth can innately cast the following spells, requiring no material components:<br><br>At will: <i>alter self, clairvoyance, darkness, detect magic, detect thoughts, dispel magic, invisibility (self only),suggestion</i><br>3/day each: <i>dimension door, fear, wall of fire</i><br>1/day each: <i>fire storm, mass suggestion</i><br><br><i><b>Magic Resistance:</b></i> The ultroloth has advantage on saving throws against spells and other magical effects.<br><br><i><b>Magic Weapons:</b></i> The ultroloth's weapon attacks are magical.
Nycaloth; Large fiend (yugoloth); neutral evil; 18; natural armor; 123; 13d10+52; 40 ft., fly 60 ft.; 20; 11; 19; 12; 10; 15; ; Intimidation +6, Perception +4, Stealth +4; cold, fire, lightning, bludgeoning, piercing, and slashing from nonmagical attacks; acid, poison; charmed, poisoned; Blindsight 60 ft., Darkvision 60 ft., PP 14; Abyssal, Infernal, Telepathy 60 ft.; 9; 5000; ; <i><b>Multiattack:</b></i> The nycaloth makes two melee attacks, or it makes one melee attack and teleports before or after the attack.<br><br><i><b>Claw:</b> Melee Weapon Attack:</i> +9 to hit, reach 5 ft., one target. <i>Hit:</i> 12 (2d6+5) slashing damage. If the target is a creature, it must succeed on a DC 16 Constitution saving throw or take 5 (2d4) slashing damage at the start of each of its turns due to a fiendish wound. Each time the nycaloth hits the wounded target with this attack, the damage dealt by the wound increases by 5 (2d4). Any creature can take an action to stanch the wound with a successful DC 13 Wisdom (Medicine) check. The wound also closes if the target receives magical healing.<br><br><i><b>Greataxe:</b> Melee Weapon Attack:</i> +9 to hit, reach 5 ft., one target. <i>Hit:</i> 18 (2d12+5) slashing damage.<br><br><i><b>Teleport:</b></i> The nycaloth magically teleports, along with any equipment it is wearing or carrying, up to 60 feet to an unoccupied space it can see.; ; <i><b>Innate Spellcasting:</b></i> The nycaloth's innate spellcasting ability is Charisma. The nycaloth can innately cast the following spells, requiring no material components:<br><br>At will: <i>darkness, detect magic, dispel magic, invisibility (self only), mirror image</i><br><br><i><b>Magic Resistance:</b></i> The nycaloth has advantage on saving throws against spells and other magical effects.<br><br><i><b>Magic Weapons:</b></i> The nycaloth's weapon attacks are magical.
Mezzoloth; Medium fiend (yugoloth); neutral evil; 18; natural armor; 75; 10d8+30; 40 ft.; 18; 11; 16; 7; 10; 11; ; Perception +3; cold, fire, lightning, bludgeoning, piercing, and slashing from nonmagical attacks; acid, poison; poisoned; Blindsight 60 ft., Darkvision 60 ft., PP 13; Abyssal, Infernal, Telepathy 60 ft.; 5; 1800; ; <i><b>Multiattack:</b></i> The mezzoloth makes two attacks: one with its claws and one with its trident.<br><br><i><b>Claws:</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 9 (2d4+4) slashing damage.<br><br><i><b>Trident:</b> Melee or Ranged Weapon Attack:</i> +7 to hit, reach 5 ft. or range 20/60 ft., one target. <i>Hit:</i> 7 (1d6+4) piercing damage, or 8 (1d8+4) piercing damage when held with two claws and used to make a melee attack.<br><br><i><b>Teleport:</b></i> The mezzoloth magically teleports, along with any equipment it is wearing or carrying, up to 60 feet to an unoccupied space it can see.; ; <i><b>Innate Spellcasting:</b></i> The mezzoloth's innate spellcasting ability is Charisma (spell save DC 11). The mezzoloth can innately cast the following spells, requiring no material components:<br><br>2/day each: <i>darkness, dispel magic</i><br>1/day: <i>cloudkill</i><br><br><i><b>Magic Resistance:</b></i> The mezzoloth has advantage on saving throws against spells and other magical effects.<br><br><i><b>Magic Weapons:</b></i> The mezzoloth's weapon attacks are magical.
Arcanaloth; Medium fiend (yugoloth); neutral evil; 17; natural armor; 104; 16d8+32; 30 ft., fly 30 ft.; 17; 12; 14; 20; 16; 17; Dex +5, Int +9, Wis +7, Cha +7; Arcana +13, Deception +9, Insight +9, Perception +7; cold, fire, lightning, bludgeoning, piercing, and slashing from nonmagical attacks; acid, poison; charmed, poisoned; Truesight 120 ft., PP 17; all, Telepathy 120 ft.; 12; 8400; ; <i><b>Claws:</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft. , one target. <i>Hit:</i> 8 (2d4+3) slashing damage. The target must make a DC 14 Constitution saving throw, taking 10 (3d6) poison damage on a failed save, or half as much damage on a successful one.<br><br><i><b>Teleport:</b></i> The arcanaloth magically teleports, along with any equipment it is wearing or carrying, up to 60 feet to an unoccupied space it can see.<br><br><h1>Features cont.</h1><p><i><b>Spellcasting:</b></i> The arcanaloth is a 16th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 17, +9 to hit with spell attacks). The arcanaloth has the following wizard spells prepared:<br><br>Cantrips (at will): <i>fire bolt, mage hand, minor illusion, prestidigitation</i><br>1st level (4 slots): <i>detect magic, identify, shield, Tenser's floating disk</i> <br>2nd level (3 slots): <i>detect thoughts, mirror image, phantasmal force, suggestion</i><br>3rd level (3 slots): <i>counterspell, fear,fireball</i><br>4th level (3 slots): <i>banishment, dimension door</i><br>5th level (2 slots): <i>contact other plane, hold monster</i><br>6th level (1 slot): <i>chain lightning</i><br>7th level (1 slot): <i>finger of death</i><br>8th level (1 slot): <i>mind blank</i></p>; ; <i><b>Innate Spellcasting:</b></i> The arcanaloth's innate spellcasting ability is Charisma (spell save DC 15). The arcanaloth can innately cast the following spells, requiring no material components:<br><br>At will: <i>alter self, darkness, heat metal, invisibility (self only), magic missile</i><br><br><i><b>Magic Resistance:</b></i> The arcanaloth has advantage on saving throws against spells and other magical effects.<br><br><i><b>Magic Weapons:</b></i> The arcanaloth's weapon attacks are magical.
Yuan-Ti Pureblood; Medium humanoid (yuan-ti); neutral evil; 11; ; 40; 9d8; 30 ft.; 11; 12; 11; 13; 12; 14; ; Deception +6, Perception +3, Stealth +3; ; poison; poisoned; Darkvision 60 ft., PP 13; Abyssal, Common, Draconic; 1; 200; ; <i><b>Multiattack:</b></i> The yuan-ti makes two melee attacks.<br><br><i><b>Scimitar:</b> Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 4 (1d6+1) slashing damage.<br><br><i><b>Shortbow:</b> Ranged Weapon Attack:</i> +3 to hit, range 80/320 ft., one target. <i>Hit:</i> 4 (1d6+1) piercing damage plus 7 (2d6) poison damage.; ; <i><b>Innate Spellcasting:</b></i> The yuan-ti's spellcasting ability is Charisma (spell save DC 12). The yuan-ti can innately cast the following spells, requiring no material components:<br><br>At will: <i>animal friendship (snakes only)</i><br>3/day: <i>poison spray, suggestion</i><br><br><i><b>Magic Resistance:</b></i> The yuan-ti has advantage on saving throws against spells and other magical effects.
Yuan-Ti Malison (Type 3); Large monstrosity (shapechanger, yuan-ti); neutral evil; 12; ; 66; 12d8+12; 30 ft.; 16; 14; 13; 14; 12; 16; ; Deception +5, Stealth +4; ; poison; poisoned; Darkvision 60 ft., PP 11; Abyssal, Common, Draconic; 3; 700; ; <i><b>Multiattack (Yuan-ti Form Only):</b></i> The yuan-ti makes two ranged attacks or two melee attacks, but can constrict only once.<br><br><i><b>Bite (Snake Form Only):</b> Melee Weapon Attack:</i> +5 to hit, reach 5 ft., one creature. <i>Hit:</i> 5 (1d4+3) piercing damage plus 7 (2d6) poison damage.<br><br><i><b>Constrict:</b> Melee Weapon Attack:</i> +5 to hit, reach 5 ft., one target. <i>Hit:</i> 10 (2d6+3) bludgeoning damage, and the target is grappled (escape DC 13). Until this grapple ends, the target is restrained, and the yuan-ti can't constrict another target.<br><br><i><b>Scimitar (Yuan-ti Form Only):</b> Melee Weapon Attack:</i> +5 to hit, reach 5 ft., one target. <i>Hit:</i> 6 (1d6+3) slashing damage.<br><br><i><b>Longbow (Yuan-ti Form Only):</b> Ranged Weapon Attack:</i> +4 to hit, range 150/600 ft., one target. <i>Hit:</i> 6 (1d8+2) piercing damage.; ; <i><b>Shapechanger:</b></i> The yuan-ti can use its action to polymorph into a Large snake, or back into its true form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed. It doesn't change form if it dies.<br><br><i><b>Innate Spellcasting (Yuan-ti form only):</b></i> The yuan-ti's innate spellcasting ability is Charisma (spell save DC 13). The yuan-ti can innately cast the following spells, requiring no material components:<br><br>At will: <i>animal friendship (snakes only)</i><br>3/day: <i>suggestion</i><br><br><i><b>Magic Resistance:</b></i> The yuan-ti has advantage on saving throws against spells and other magical effects.<br><br><i><b>Malison Type:</b></i> The yuan-ti is of type 3. It has a human head and upper body with a serpentine lower body instead of legs.
Yuan-Ti Malison (Type 2); Large monstrosity (shapechanger, yuan-ti); neutral evil; 12; ; 66; 12d8+12; 30 ft.; 16; 14; 13; 14; 12; 16; ; Deception +5, Stealth +4; ; poison; poisoned; Darkvision 60 ft., PP 11; Abyssal, Common, Draconic; 3; 700; ; <i><b>Multiattack (Yuan-ti Form Only):</b></i> The yuan-ti makes two bite attacks using its snake arms.<br><br><i><b>Bite:</b> Melee Weapon Attack:</i> +5 to hit, reach 5 ft., one creature. <i>Hit:</i> 5 (1d4+3) piercing damage plus 7 (2d6) poison damage.; ; <i><b>Shapechanger:</b></i> The yuan-ti can use its action to polymorph into a Large snake, or back into its true form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed. It doesn't change form if it dies.<br><br><i><b>Innate Spellcasting (Yuan-ti form only):</b></i> The yuan-ti's innate spellcasting ability is Charisma (spell save DC 13). The yuan-ti can innately cast the following spells, requiring no material components:<br><br>At will: <i>animal friendship (snakes only)</i><br>3/day: <i>suggestion</i><br><br><i><b>Magic Resistance:</b></i> The yuan-ti has advantage on saving throws against spells and other magical effects.<br><br><i><b>Malison Type:</b></i> The yuan-ti is of type 2. It has a human head and body with snakes for arms.
Yuan-Ti Malison (Type 1); Large monstrosity (shapechanger, yuan-ti); neutral evil; 12; ; 66; 12d8+12; 30 ft.; 16; 14; 13; 14; 12; 16; ; Deception +5, Stealth +4; ; poison; poisoned; Darkvision 60 ft., PP 11; Abyssal, Common, Draconic; 3; 700; ; <i><b>Multiattack (Yuan-ti Form Only):</b></i> The yuan-ti makes two ranged attacks or two melee attacks, but can use its bite only once.<br><br><i><b>Bite:</b> Melee Weapon Attack:</i> +5 to hit, reach 5 ft., one creature. <i>Hit:</i> 5 (1d4+3) piercing damage plus 7 (2d6) poison damage.<br><br><i><b>Scimitar (Yuan-ti Form Only):</b> Melee Weapon Attack:</i> +5 to hit, reach 5 ft., one target. <i>Hit:</i> 6 (1d6+3) slashing damage.<br><br><i><b>Longbow (Yuan-ti Form Only):</b> Ranged Weapon Attack:</i> +4 to hit, range 150/600 ft., one target. <i>Hit:</i> 6 (1d8+2) piercing damage plus 7 (2d6) poison damage.; ; <i><b>Shapechanger:</b></i> The yuan-ti can use its action to polymorph into a Large snake, or back into its true form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed. It doesn't change form if it dies.<br><br><i><b>Innate Spellcasting (Yuan-ti form only):</b></i> The yuan-ti's innate spellcasting ability is Charisma (spell save DC 13). The yuan-ti can innately cast the following spells, requiring no material components:<br><br>At will: <i>animal friendship (snakes only)</i><br>3/day: <i>suggestion</i><br><br><i><b>Magic Resistance:</b></i> The yuan-ti has advantage on saving throws against spells and other magical effects.<br><br><i><b>Malison Type:</b></i> The yuan-ti is of type 1. It has a human body with a snake head.
